model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg_additive,1,slow,1,8,0.0,False,0.0,42.8321533203125
mg_additive,1,slow,1,8,0.0,True,0.0,30.723552703857422
mg_additive,1,slow,1,8,0.3,False,0.0,50.927791595458984
mg_additive,1,slow,1,8,0.3,True,0.0,37.297725677490234
mg_additive,1,slow,1,8,0.6,False,0.0,44.75137710571289
mg_additive,1,slow,1,8,0.6,True,0.0,25.20871353149414
mg_additive,1,slow,1,16,0.0,False,0.0,49.47228240966797
mg_additive,1,slow,1,16,0.0,True,0.0,53.30937194824219
mg_additive,1,slow,1,16,0.3,False,0.0,36.95716094970703
mg_additive,1,slow,1,16,0.3,True,0.0,47.76597595214844
mg_additive,1,slow,1,16,0.6,False,0.0,55.875267028808594
mg_additive,1,slow,1,16,0.6,True,0.0,40.761356353759766
mg_additive,1,slow,1,32,0.0,False,0.0,51.119163513183594
mg_additive,1,slow,1,32,0.0,True,0.0,44.435035705566406
mg_additive,1,slow,1,32,0.3,False,0.0,35.48771667480469
mg_additive,1,slow,1,32,0.3,True,0.0,48.575660705566406
mg_additive,1,slow,1,32,0.6,False,0.0,50.631019592285156
mg_additive,1,slow,1,32,0.6,True,0.0,43.361328125
mg_additive,1,slow,1,64,0.0,False,0.0,50.95977020263672
mg_additive,1,slow,1,64,0.0,True,0.0,45.60298538208008
mg_additive,1,slow,1,64,0.3,False,0.0,40.01775360107422
mg_additive,1,slow,1,64,0.3,True,0.0,41.05534744262695
mg_additive,1,slow,1,64,0.6,False,0.0,31.687885284423828
mg_additive,1,slow,1,64,0.6,True,0.0,40.37083435058594
mg_additive,1,slow,2,8,0.0,False,0.0,34.223976135253906
mg_additive,1,slow,2,8,0.0,True,0.0,42.92395782470703
mg_additive,1,slow,2,8,0.3,False,0.0,39.18766784667969
mg_additive,1,slow,2,8,0.3,True,0.0,35.81214141845703
mg_additive,1,slow,2,8,0.6,False,0.0,43.09335708618164
mg_additive,1,slow,2,8,0.6,True,0.0,35.89949035644531
mg_additive,1,slow,2,16,0.0,False,0.0,50.54589080810547
mg_additive,1,slow,2,16,0.0,True,0.0,37.22229766845703
mg_additive,1,slow,2,16,0.3,False,0.0,45.75730895996094
mg_additive,1,slow,2,16,0.3,True,0.0,44.64952087402344
mg_additive,1,slow,2,16,0.6,False,0.0,43.881351470947266
mg_additive,1,slow,2,16,0.6,True,0.0,47.090171813964844
mg_additive,1,slow,2,32,0.0,False,0.0,56.30073547363281
mg_additive,1,slow,2,32,0.0,True,0.0,58.32367706298828
mg_additive,1,slow,2,32,0.3,False,0.0,44.460533142089844
mg_additive,1,slow,2,32,0.3,True,0.0,43.5937385559082
mg_additive,1,slow,2,32,0.6,False,0.0,50.06438064575195
mg_additive,1,slow,2,32,0.6,True,0.0,42.534645080566406
mg_additive,1,slow,2,64,0.0,False,0.0,45.093807220458984
mg_additive,1,slow,2,64,0.0,True,0.0,46.10977554321289
mg_additive,1,slow,2,64,0.3,False,0.0,40.57126998901367
mg_additive,1,slow,2,64,0.3,True,0.0,38.513397216796875
mg_additive,1,slow,2,64,0.6,False,0.0,42.44157028198242
mg_additive,1,slow,2,64,0.6,True,0.0,47.044227600097656
mg_additive,1,slow,4,8,0.0,False,0.0,28.03358268737793
mg_additive,1,slow,4,8,0.0,True,0.0,34.97761154174805
mg_additive,1,slow,4,8,0.3,False,0.0,47.717323303222656
mg_additive,1,slow,4,8,0.3,True,0.0,37.21388244628906
mg_additive,1,slow,4,8,0.6,False,0.0,45.210693359375
mg_additive,1,slow,4,8,0.6,True,0.0,40.3597526550293
mg_additive,1,slow,4,16,0.0,False,0.0,34.03010177612305
mg_additive,1,slow,4,16,0.0,True,0.0,36.45072937011719
mg_additive,1,slow,4,16,0.3,False,0.0,43.47460174560547
mg_additive,1,slow,4,16,0.3,True,0.0,30.841655731201172
mg_additive,1,slow,4,16,0.6,False,0.0,52.927734375
mg_additive,1,slow,4,16,0.6,True,0.0,51.0286865234375
mg_additive,1,slow,4,32,0.0,False,0.0,45.186737060546875
mg_additive,1,slow,4,32,0.0,True,0.0,40.09010314941406
mg_additive,1,slow,4,32,0.3,False,0.0,55.5606689453125
mg_additive,1,slow,4,32,0.3,True,0.0,38.8436279296875
mg_additive,1,slow,4,32,0.6,False,0.0,43.674156188964844
mg_additive,1,slow,4,32,0.6,True,0.0,52.408409118652344
mg_additive,1,slow,4,64,0.0,False,0.0,36.52490234375
mg_additive,1,slow,4,64,0.0,True,0.0,49.73406219482422
mg_additive,1,slow,4,64,0.3,False,0.0,48.780982971191406
mg_additive,1,slow,4,64,0.3,True,0.0,46.87744140625
mg_additive,1,slow,4,64,0.6,False,0.0,39.35945129394531
mg_additive,1,slow,4,64,0.6,True,0.0,52.99622344970703
mg_additive,1,slow,8,8,0.0,False,0.0,28.808326721191406
mg_additive,1,slow,8,8,0.0,True,0.0,35.86349105834961
mg_additive,1,slow,8,8,0.3,False,0.0,49.82518005371094
mg_additive,1,slow,8,8,0.3,True,0.0,35.660301208496094
mg_additive,1,slow,8,8,0.6,False,0.0,45.72020721435547
mg_additive,1,slow,8,8,0.6,True,0.0,34.04324722290039
mg_additive,1,slow,8,16,0.0,False,0.0,46.62682342529297
mg_additive,1,slow,8,16,0.0,True,0.0,37.40238952636719
mg_additive,1,slow,8,16,0.3,False,0.0,41.203819274902344
mg_additive,1,slow,8,16,0.3,True,0.0,41.57526397705078
mg_additive,1,slow,8,16,0.6,False,0.0,58.638126373291016
mg_additive,1,slow,8,16,0.6,True,0.0,51.90728759765625
mg_additive,1,slow,8,32,0.0,False,0.0,61.729393005371094
mg_additive,1,slow,8,32,0.0,True,0.0,52.26247024536133
mg_additive,1,slow,8,32,0.3,False,0.0,50.08113098144531
mg_additive,1,slow,8,32,0.3,True,0.0,45.92343521118164
mg_additive,1,slow,8,32,0.6,False,0.0,49.194091796875
mg_additive,1,slow,8,32,0.6,True,0.0,66.23677062988281
mg_additive,1,slow,8,64,0.0,False,0.0,50.91841506958008
mg_additive,1,slow,8,64,0.0,True,0.0,51.85670471191406
mg_additive,1,slow,8,64,0.3,False,0.0,43.356197357177734
mg_additive,1,slow,8,64,0.3,True,0.0,48.736480712890625
mg_additive,1,slow,8,64,0.6,False,0.0,36.90678405761719
mg_additive,1,slow,8,64,0.6,True,0.0,41.47382354736328
baseline,1,slow,1,8,0.0,False,0.0,43.490692138671875
baseline,1,slow,1,8,0.0,True,0.0,30.38353729248047
baseline,1,slow,1,8,0.3,False,0.0,49.44048309326172
baseline,1,slow,1,8,0.3,True,0.0,36.34909439086914
baseline,1,slow,1,8,0.6,False,0.0,44.855308532714844
baseline,1,slow,1,8,0.6,True,0.0,26.48942756652832
baseline,1,slow,1,16,0.0,False,0.0,49.41102600097656
baseline,1,slow,1,16,0.0,True,0.0,53.05406951904297
baseline,1,slow,1,16,0.3,False,0.0,37.66365432739258
baseline,1,slow,1,16,0.3,True,0.0,47.898101806640625
baseline,1,slow,1,16,0.6,False,0.0,54.66357421875
baseline,1,slow,1,16,0.6,True,0.0,42.085304260253906
baseline,1,slow,1,32,0.0,False,0.0,49.900352478027344
baseline,1,slow,1,32,0.0,True,0.0,44.72724914550781
baseline,1,slow,1,32,0.3,False,0.0,36.30791473388672
baseline,1,slow,1,32,0.3,True,0.0,48.57069396972656
baseline,1,slow,1,32,0.6,False,0.0,49.429927825927734
baseline,1,slow,1,32,0.6,True,0.0,43.76744079589844
baseline,1,slow,1,64,0.0,False,0.0,51.69038391113281
baseline,1,slow,1,64,0.0,True,0.0,45.98816680908203
baseline,1,slow,1,64,0.3,False,0.0,39.35095977783203
baseline,1,slow,1,64,0.3,True,0.0,42.20460510253906
baseline,1,slow,1,64,0.6,False,0.0,32.02614212036133
baseline,1,slow,1,64,0.6,True,0.0,37.96198272705078
baseline,1,slow,2,8,0.0,False,0.0,36.660186767578125
baseline,1,slow,2,8,0.0,True,0.0,40.29747009277344
baseline,1,slow,2,8,0.3,False,0.0,39.258331298828125
baseline,1,slow,2,8,0.3,True,0.0,34.0520133972168
baseline,1,slow,2,8,0.6,False,0.0,42.60866928100586
baseline,1,slow,2,8,0.6,True,0.0,35.4533805847168
baseline,1,slow,2,16,0.0,False,0.0,50.53337860107422
baseline,1,slow,2,16,0.0,True,0.0,37.10472869873047
baseline,1,slow,2,16,0.3,False,0.0,45.57197189331055
baseline,1,slow,2,16,0.3,True,0.0,44.07615661621094
baseline,1,slow,2,16,0.6,False,0.0,44.38735580444336
baseline,1,slow,2,16,0.6,True,0.0,46.103973388671875
baseline,1,slow,2,32,0.0,False,0.0,56.36150360107422
baseline,1,slow,2,32,0.0,True,0.0,58.7990608215332
baseline,1,slow,2,32,0.3,False,0.0,44.39165496826172
baseline,1,slow,2,32,0.3,True,0.0,44.46461486816406
baseline,1,slow,2,32,0.6,False,0.0,51.262939453125
baseline,1,slow,2,32,0.6,True,0.0,42.35209655761719
baseline,1,slow,2,64,0.0,False,0.0,46.81895065307617
baseline,1,slow,2,64,0.0,True,0.0,44.584903717041016
baseline,1,slow,2,64,0.3,False,0.0,39.634796142578125
baseline,1,slow,2,64,0.3,True,0.0,38.43149948120117
baseline,1,slow,2,64,0.6,False,0.0,42.239784240722656
baseline,1,slow,2,64,0.6,True,0.0,47.03800964355469
baseline,1,slow,4,8,0.0,False,0.0,26.87506103515625
baseline,1,slow,4,8,0.0,True,0.0,35.6693115234375
baseline,1,slow,4,8,0.3,False,0.0,47.1916389465332
baseline,1,slow,4,8,0.3,True,0.0,39.514549255371094
baseline,1,slow,4,8,0.6,False,0.0,47.39193344116211
baseline,1,slow,4,8,0.6,True,0.0,40.22400665283203
baseline,1,slow,4,16,0.0,False,0.0,37.44384765625
baseline,1,slow,4,16,0.0,True,0.0,43.01360321044922
baseline,1,slow,4,16,0.3,False,0.0,44.98004150390625
baseline,1,slow,4,16,0.3,True,0.0,30.29556655883789
baseline,1,slow,4,16,0.6,False,0.0,54.32674789428711
baseline,1,slow,4,16,0.6,True,0.0,51.02245330810547
baseline,1,slow,4,32,0.0,False,0.0,47.36418914794922
baseline,1,slow,4,32,0.0,True,0.0,43.24051284790039
baseline,1,slow,4,32,0.3,False,0.0,56.181373596191406
baseline,1,slow,4,32,0.3,True,0.0,38.822898864746094
baseline,1,slow,4,32,0.6,False,0.0,45.31324005126953
baseline,1,slow,4,32,0.6,True,0.0,52.312347412109375
baseline,1,slow,4,64,0.0,False,0.0,37.077796936035156
baseline,1,slow,4,64,0.0,True,0.0,49.67634582519531
baseline,1,slow,4,64,0.3,False,0.0,49.50522232055664
baseline,1,slow,4,64,0.3,True,0.0,50.79389953613281
baseline,1,slow,4,64,0.6,False,0.0,44.36406707763672
baseline,1,slow,4,64,0.6,True,0.0,52.88650894165039
baseline,1,slow,8,8,0.0,False,0.0,30.08150863647461
baseline,1,slow,8,8,0.0,True,0.0,33.46337127685547
baseline,1,slow,8,8,0.3,False,0.0,52.39397430419922
baseline,1,slow,8,8,0.3,True,0.0,33.83648681640625
baseline,1,slow,8,8,0.6,False,0.0,45.865936279296875
baseline,1,slow,8,8,0.6,True,0.0,33.533958435058594
baseline,1,slow,8,16,0.0,False,0.0,46.072288513183594
baseline,1,slow,8,16,0.0,True,0.0,37.311485290527344
baseline,1,slow,8,16,0.3,False,0.0,44.58460235595703
baseline,1,slow,8,16,0.3,True,0.0,42.0677490234375
baseline,1,slow,8,16,0.6,False,0.0,58.63960266113281
baseline,1,slow,8,16,0.6,True,0.0,52.15564727783203
baseline,1,slow,8,32,0.0,False,0.0,62.27556610107422
baseline,1,slow,8,32,0.0,True,0.0,51.320098876953125
baseline,1,slow,8,32,0.3,False,0.0,50.237098693847656
baseline,1,slow,8,32,0.3,True,0.0,45.18582534790039
baseline,1,slow,8,32,0.6,False,0.0,48.29078674316406
baseline,1,slow,8,32,0.6,True,0.0,65.4925765991211
baseline,1,slow,8,64,0.0,False,0.0,49.12596130371094
baseline,1,slow,8,64,0.0,True,0.0,51.378135681152344
baseline,1,slow,8,64,0.3,False,0.0,44.05711364746094
baseline,1,slow,8,64,0.3,True,0.0,49.567264556884766
baseline,1,slow,8,64,0.6,False,0.0,36.75188446044922
baseline,1,slow,8,64,0.6,True,0.0,42.111244201660156
