model,seed,step,train_loss,overall_accuracy,hard_accuracy
mg_query_gated,1,50,4.1241455078125,0.03135850694444445,0.033935546875
mg_query_gated,1,100,3.6015625,0.029405381944444444,0.032470703125
mg_query_gated,1,200,3.56787109375,0.03537326388888889,0.033447265625
mg_query_gated,1,500,1.0658055543899536e-05,1.0,1.0
mg_query_gated,1,1000,4.8335641622543335e-06,1.0,1.0
mg_query_gated,1,2000,1.5815719962120056e-05,1.0,1.0
baseline,1,50,4.5955810546875,0.030815972222222224,0.030029296875
baseline,1,100,3.60205078125,0.029839409722222224,0.031494140625
baseline,1,200,3.3740234375,0.1123046875,0.078369140625
baseline,1,500,7.404200732707977e-05,1.0,1.0
baseline,1,1000,1.7559155821800232e-05,1.0,1.0
baseline,1,2000,8.009374141693115e-06,1.0,1.0
