model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg_query_gated,1,slow,1,8,0.0,False,0.0,37.8792724609375
mg_query_gated,1,slow,1,8,0.0,True,0.0,35.6638069152832
mg_query_gated,1,slow,1,8,0.3,False,0.0,49.30027770996094
mg_query_gated,1,slow,1,8,0.3,True,0.0,41.09423828125
mg_query_gated,1,slow,1,8,0.6,False,0.0,49.70933151245117
mg_query_gated,1,slow,1,8,0.6,True,0.0,23.274927139282227
mg_query_gated,1,slow,1,16,0.0,False,0.0,54.42361068725586
mg_query_gated,1,slow,1,16,0.0,True,0.0,58.573890686035156
mg_query_gated,1,slow,1,16,0.3,False,0.0,35.68434143066406
mg_query_gated,1,slow,1,16,0.3,True,0.0,48.48112487792969
mg_query_gated,1,slow,1,16,0.6,False,0.0,54.17991638183594
mg_query_gated,1,slow,1,16,0.6,True,0.0,37.678741455078125
mg_query_gated,1,slow,1,32,0.0,False,0.0,47.969276428222656
mg_query_gated,1,slow,1,32,0.0,True,0.0,47.531978607177734
mg_query_gated,1,slow,1,32,0.3,False,0.0,34.957435607910156
mg_query_gated,1,slow,1,32,0.3,True,0.0,48.83633804321289
mg_query_gated,1,slow,1,32,0.6,False,0.0,52.91374206542969
mg_query_gated,1,slow,1,32,0.6,True,0.0,39.97248077392578
mg_query_gated,1,slow,1,64,0.0,False,0.0,51.28667068481445
mg_query_gated,1,slow,1,64,0.0,True,0.0,48.59862518310547
mg_query_gated,1,slow,1,64,0.3,False,0.0,42.807525634765625
mg_query_gated,1,slow,1,64,0.3,True,0.0,38.5831413269043
mg_query_gated,1,slow,1,64,0.6,False,0.0,33.85503387451172
mg_query_gated,1,slow,1,64,0.6,True,0.0,42.15850067138672
mg_query_gated,1,slow,2,8,0.0,False,0.0,36.56712341308594
mg_query_gated,1,slow,2,8,0.0,True,0.0,40.45366668701172
mg_query_gated,1,slow,2,8,0.3,False,0.0,48.049476623535156
mg_query_gated,1,slow,2,8,0.3,True,0.0,35.61958312988281
mg_query_gated,1,slow,2,8,0.6,False,0.0,43.14037322998047
mg_query_gated,1,slow,2,8,0.6,True,0.0,36.8136100769043
mg_query_gated,1,slow,2,16,0.0,False,0.0,51.24367904663086
mg_query_gated,1,slow,2,16,0.0,True,0.0,37.49444580078125
mg_query_gated,1,slow,2,16,0.3,False,0.0,49.8966064453125
mg_query_gated,1,slow,2,16,0.3,True,0.0,41.913917541503906
mg_query_gated,1,slow,2,16,0.6,False,0.0,43.88101577758789
mg_query_gated,1,slow,2,16,0.6,True,0.0,47.434566497802734
mg_query_gated,1,slow,2,32,0.0,False,0.0,58.02671813964844
mg_query_gated,1,slow,2,32,0.0,True,0.0,56.5126838684082
mg_query_gated,1,slow,2,32,0.3,False,0.0,42.63740539550781
mg_query_gated,1,slow,2,32,0.3,True,0.0,38.24189758300781
mg_query_gated,1,slow,2,32,0.6,False,0.0,52.48689270019531
mg_query_gated,1,slow,2,32,0.6,True,0.0,41.97176742553711
mg_query_gated,1,slow,2,64,0.0,False,0.0,47.735347747802734
mg_query_gated,1,slow,2,64,0.0,True,0.0,46.92913818359375
mg_query_gated,1,slow,2,64,0.3,False,0.0,44.82801055908203
mg_query_gated,1,slow,2,64,0.3,True,0.0,40.67090606689453
