model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg,1,slow,1,8,0.0,False,0.0,39.65190315246582
mg,1,slow,1,8,0.0,True,0.0,35.53135299682617
mg,1,slow,1,8,0.3,False,0.0,42.81178283691406
mg,1,slow,1,8,0.3,True,0.0,35.79263496398926
mg,1,slow,1,8,0.6,False,0.0,37.01559257507324
mg,1,slow,1,8,0.6,True,0.0,31.143962860107422
mg,1,slow,1,16,0.0,False,0.0,45.042104721069336
mg,1,slow,1,16,0.0,True,0.0,47.17116355895996
mg,1,slow,1,16,0.3,False,0.0,49.942203521728516
mg,1,slow,1,16,0.3,True,0.0,51.66758346557617
mg,1,slow,1,16,0.6,False,0.0,51.929059982299805
mg,1,slow,1,16,0.6,True,0.0,50.26995086669922
mg,1,slow,1,32,0.0,False,0.0,49.52585220336914
mg,1,slow,1,32,0.0,True,0.0,45.48872375488281
mg,1,slow,1,32,0.3,False,0.0,45.02089881896973
mg,1,slow,1,32,0.3,True,0.0,48.174177169799805
mg,1,slow,1,32,0.6,False,0.0,50.549903869628906
mg,1,slow,1,32,0.6,True,0.0,49.6441707611084
mg,1,slow,1,64,0.0,False,0.0,49.50991439819336
mg,1,slow,1,64,0.0,True,0.0,45.86392784118652
mg,1,slow,1,64,0.3,False,0.0,40.74893379211426
mg,1,slow,1,64,0.3,True,0.0,44.52591514587402
mg,1,slow,1,64,0.6,False,0.0,38.1541748046875
mg,1,slow,1,64,0.6,True,0.0,43.11909866333008
mg,1,slow,2,8,0.0,False,0.0,38.04619026184082
mg,1,slow,2,8,0.0,True,0.0,45.36752510070801
mg,1,slow,2,8,0.3,False,0.0,36.346370697021484
mg,1,slow,2,8,0.3,True,0.0,38.20557403564453
mg,1,slow,2,8,0.6,False,0.0,34.14561080932617
mg,1,slow,2,8,0.6,True,0.0,36.05433464050293
mg,1,slow,2,16,0.0,False,0.0,46.12569618225098
mg,1,slow,2,16,0.0,True,0.0,46.996442794799805
mg,1,slow,2,16,0.3,False,0.0,50.75686836242676
mg,1,slow,2,16,0.3,True,0.0,48.0164852142334
mg,1,slow,2,16,0.6,False,0.0,49.42295265197754
