model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg,1,triton,1,8,0.0,False,0.03125,3.506072998046875
mg,1,triton,1,8,0.0,True,0.0341796875,3.479278564453125
mg,1,triton,1,8,0.3,False,0.0400390625,3.488739013671875
mg,1,triton,1,8,0.3,True,0.021484375,3.4984130859375
mg,1,triton,1,8,0.6,False,0.03125,3.4999847412109375
mg,1,triton,1,8,0.6,True,0.01953125,3.4950714111328125
mg,1,triton,1,16,0.0,False,0.0361328125,3.4829254150390625
mg,1,triton,1,16,0.0,True,0.0263671875,3.5007476806640625
mg,1,triton,1,16,0.3,False,0.029296875,3.491668701171875
mg,1,triton,1,16,0.3,True,0.0322265625,3.50640869140625
mg,1,triton,1,16,0.6,False,0.0400390625,3.4860076904296875
mg,1,triton,1,16,0.6,True,0.03125,3.4979248046875
mg,1,triton,1,32,0.0,False,0.0302734375,3.4870452880859375
mg,1,triton,1,32,0.0,True,0.0302734375,3.493255615234375
mg,1,triton,1,32,0.3,False,0.02734375,3.49322509765625
mg,1,triton,1,32,0.3,True,0.0341796875,3.4852752685546875
mg,1,triton,1,32,0.6,False,0.025390625,3.50927734375
mg,1,triton,1,32,0.6,True,0.0234375,3.496063232421875
mg,1,triton,1,64,0.0,False,0.0341796875,3.496368408203125
mg,1,triton,1,64,0.0,True,0.0322265625,3.499481201171875
mg,1,triton,1,64,0.3,False,0.0341796875,3.4971466064453125
mg,1,triton,1,64,0.3,True,0.0263671875,3.50347900390625
mg,1,triton,1,64,0.6,False,0.0263671875,3.490142822265625
mg,1,triton,1,64,0.6,True,0.03125,3.498687744140625
mg,1,triton,2,8,0.0,False,0.033203125,3.4846038818359375
mg,1,triton,2,8,0.0,True,0.0361328125,3.49102783203125
mg,1,triton,2,8,0.3,False,0.029296875,3.5072021484375
mg,1,triton,2,8,0.3,True,0.0283203125,3.503265380859375
mg,1,triton,2,8,0.6,False,0.029296875,3.493621826171875
mg,1,triton,2,8,0.6,True,0.0185546875,3.5043487548828125
mg,1,triton,2,16,0.0,False,0.025390625,3.497894287109375
mg,1,triton,2,16,0.0,True,0.033203125,3.4832916259765625
mg,1,triton,2,16,0.3,False,0.033203125,3.48370361328125
mg,1,triton,2,16,0.3,True,0.0400390625,3.48272705078125
mg,1,triton,2,16,0.6,False,0.03125,3.4927520751953125
mg,1,triton,2,16,0.6,True,0.0302734375,3.4799652099609375
mg,1,triton,2,32,0.0,False,0.0341796875,3.48394775390625
mg,1,triton,2,32,0.0,True,0.02734375,3.49041748046875
mg,1,triton,2,32,0.3,False,0.0361328125,3.5055389404296875
mg,1,triton,2,32,0.3,True,0.0302734375,3.4872589111328125
mg,1,triton,2,32,0.6,False,0.0361328125,3.493499755859375
mg,1,triton,2,32,0.6,True,0.04296875,3.486236572265625
mg,1,triton,2,64,0.0,False,0.029296875,3.49066162109375
mg,1,triton,2,64,0.0,True,0.0263671875,3.49884033203125
mg,1,triton,2,64,0.3,False,0.0224609375,3.5019989013671875
mg,1,triton,2,64,0.3,True,0.0361328125,3.4871978759765625
mg,1,triton,2,64,0.6,False,0.0283203125,3.50946044921875
mg,1,triton,2,64,0.6,True,0.0400390625,3.49774169921875
mg,1,triton,4,8,0.0,False,0.0380859375,3.4886474609375
mg,1,triton,4,8,0.0,True,0.0400390625,3.4818267822265625
mg,1,triton,4,8,0.3,False,0.03515625,3.493316650390625
mg,1,triton,4,8,0.3,True,0.0322265625,3.482208251953125
mg,1,triton,4,8,0.6,False,0.03125,3.4920806884765625
mg,1,triton,4,8,0.6,True,0.033203125,3.49798583984375
mg,1,triton,4,16,0.0,False,0.0439453125,3.489593505859375
mg,1,triton,4,16,0.0,True,0.03515625,3.486541748046875
mg,1,triton,4,16,0.3,False,0.03125,3.50079345703125
mg,1,triton,4,16,0.3,True,0.033203125,3.5025634765625
mg,1,triton,4,16,0.6,False,0.0244140625,3.4946441650390625
mg,1,triton,4,16,0.6,True,0.0341796875,3.4957275390625
mg,1,triton,4,32,0.0,False,0.03125,3.500823974609375
mg,1,triton,4,32,0.0,True,0.0341796875,3.4882049560546875
mg,1,triton,4,32,0.3,False,0.0283203125,3.4997406005859375
mg,1,triton,4,32,0.3,True,0.0234375,3.5063018798828125
mg,1,triton,4,32,0.6,False,0.0302734375,3.5003204345703125
mg,1,triton,4,32,0.6,True,0.0283203125,3.4864501953125
mg,1,triton,4,64,0.0,False,0.0390625,3.4871978759765625
mg,1,triton,4,64,0.0,True,0.0380859375,3.4858245849609375
mg,1,triton,4,64,0.3,False,0.033203125,3.4897918701171875
mg,1,triton,4,64,0.3,True,0.0244140625,3.5079193115234375
mg,1,triton,4,64,0.6,False,0.0361328125,3.4835052490234375
mg,1,triton,4,64,0.6,True,0.0283203125,3.5037384033203125
mg,1,triton,8,8,0.0,False,0.0263671875,3.50164794921875
mg,1,triton,8,8,0.0,True,0.041015625,3.4957733154296875
mg,1,triton,8,8,0.3,False,0.037109375,3.50079345703125
mg,1,triton,8,8,0.3,True,0.03125,3.4899749755859375
mg,1,triton,8,8,0.6,False,0.03125,3.4875030517578125
mg,1,triton,8,8,0.6,True,0.0244140625,3.4953765869140625
mg,1,triton,8,16,0.0,False,0.0263671875,3.5049896240234375
mg,1,triton,8,16,0.0,True,0.03125,3.4951019287109375
mg,1,triton,8,16,0.3,False,0.037109375,3.4856414794921875
mg,1,triton,8,16,0.3,True,0.025390625,3.4895477294921875
mg,1,triton,8,16,0.6,False,0.03515625,3.49578857421875
mg,1,triton,8,16,0.6,True,0.0263671875,3.4939727783203125
mg,1,triton,8,32,0.0,False,0.041015625,3.5041656494140625
mg,1,triton,8,32,0.0,True,0.0302734375,3.5111541748046875
mg,1,triton,8,32,0.3,False,0.029296875,3.4977264404296875
mg,1,triton,8,32,0.3,True,0.02734375,3.5009918212890625
mg,1,triton,8,32,0.6,False,0.029296875,3.51416015625
mg,1,triton,8,32,0.6,True,0.0361328125,3.4835968017578125
mg,1,triton,8,64,0.0,False,0.0234375,3.5049591064453125
mg,1,triton,8,64,0.0,True,0.033203125,3.508331298828125
mg,1,triton,8,64,0.3,False,0.0263671875,3.502197265625
mg,1,triton,8,64,0.3,True,0.0244140625,3.51324462890625
mg,1,triton,8,64,0.6,False,0.033203125,3.496429443359375
mg,1,triton,8,64,0.6,True,0.041015625,3.5021514892578125
mg,2,triton,1,8,0.0,False,0.0302734375,3.4685821533203125
mg,2,triton,1,8,0.0,True,0.0283203125,3.466064453125
mg,2,triton,1,8,0.3,False,0.02734375,3.456817626953125
mg,2,triton,1,8,0.3,True,0.0263671875,3.4791259765625
mg,2,triton,1,8,0.6,False,0.0322265625,3.462860107421875
mg,2,triton,1,8,0.6,True,0.0302734375,3.4705657958984375
mg,2,triton,1,16,0.0,False,0.037109375,3.4750823974609375
mg,2,triton,1,16,0.0,True,0.0439453125,3.4662322998046875
mg,2,triton,1,16,0.3,False,0.0263671875,3.479461669921875
mg,2,triton,1,16,0.3,True,0.0517578125,3.4712371826171875
mg,2,triton,1,16,0.6,False,0.0400390625,3.4587554931640625
mg,2,triton,1,16,0.6,True,0.033203125,3.474578857421875
mg,2,triton,1,32,0.0,False,0.0283203125,3.4754638671875
mg,2,triton,1,32,0.0,True,0.0419921875,3.458221435546875
mg,2,triton,1,32,0.3,False,0.0244140625,3.47918701171875
mg,2,triton,1,32,0.3,True,0.037109375,3.479339599609375
mg,2,triton,1,32,0.6,False,0.033203125,3.479461669921875
mg,2,triton,1,32,0.6,True,0.0380859375,3.4649200439453125
mg,2,triton,1,64,0.0,False,0.0302734375,3.478729248046875
mg,2,triton,1,64,0.0,True,0.041015625,3.4650115966796875
mg,2,triton,1,64,0.3,False,0.0361328125,3.46453857421875
mg,2,triton,1,64,0.3,True,0.0439453125,3.4722137451171875
mg,2,triton,1,64,0.6,False,0.0390625,3.467529296875
mg,2,triton,1,64,0.6,True,0.0283203125,3.4666748046875
mg,2,triton,2,8,0.0,False,0.0390625,3.4601287841796875
mg,2,triton,2,8,0.0,True,0.0302734375,3.4503631591796875
mg,2,triton,2,8,0.3,False,0.046875,3.464080810546875
mg,2,triton,2,8,0.3,True,0.0458984375,3.444610595703125
mg,2,triton,2,8,0.6,False,0.0361328125,3.4788055419921875
mg,2,triton,2,8,0.6,True,0.03515625,3.45123291015625
mg,2,triton,2,16,0.0,False,0.0380859375,3.477630615234375
mg,2,triton,2,16,0.0,True,0.0517578125,3.4532623291015625
mg,2,triton,2,16,0.3,False,0.0361328125,3.4770050048828125
mg,2,triton,2,16,0.3,True,0.052734375,3.45928955078125
mg,2,triton,2,16,0.6,False,0.0390625,3.470733642578125
mg,2,triton,2,16,0.6,True,0.046875,3.4627227783203125
mg,2,triton,2,32,0.0,False,0.0322265625,3.4588470458984375
mg,2,triton,2,32,0.0,True,0.0244140625,3.4764251708984375
mg,2,triton,2,32,0.3,False,0.029296875,3.4822235107421875
mg,2,triton,2,32,0.3,True,0.0390625,3.4582061767578125
mg,2,triton,2,32,0.6,False,0.0263671875,3.4672698974609375
mg,2,triton,2,32,0.6,True,0.033203125,3.4635772705078125
mg,2,triton,2,64,0.0,False,0.0361328125,3.4647674560546875
mg,2,triton,2,64,0.0,True,0.048828125,3.461639404296875
mg,2,triton,2,64,0.3,False,0.0322265625,3.4803619384765625
mg,2,triton,2,64,0.3,True,0.046875,3.4586029052734375
mg,2,triton,2,64,0.6,False,0.0517578125,3.466827392578125
mg,2,triton,2,64,0.6,True,0.0400390625,3.4665069580078125
mg,2,triton,4,8,0.0,False,0.02734375,3.4878082275390625
mg,2,triton,4,8,0.0,True,0.04296875,3.462432861328125
mg,2,triton,4,8,0.3,False,0.029296875,3.468963623046875
mg,2,triton,4,8,0.3,True,0.0341796875,3.4613037109375
mg,2,triton,4,8,0.6,False,0.03125,3.4638824462890625
mg,2,triton,4,8,0.6,True,0.0283203125,3.4569854736328125
mg,2,triton,4,16,0.0,False,0.041015625,3.465301513671875
mg,2,triton,4,16,0.0,True,0.041015625,3.4765777587890625
mg,2,triton,4,16,0.3,False,0.041015625,3.4843597412109375
mg,2,triton,4,16,0.3,True,0.02734375,3.4788055419921875
mg,2,triton,4,16,0.6,False,0.0419921875,3.4800872802734375
mg,2,triton,4,16,0.6,True,0.04296875,3.481170654296875
mg,2,triton,4,32,0.0,False,0.0341796875,3.4742889404296875
mg,2,triton,4,32,0.0,True,0.0341796875,3.4664459228515625
mg,2,triton,4,32,0.3,False,0.037109375,3.473236083984375
mg,2,triton,4,32,0.3,True,0.044921875,3.46875
mg,2,triton,4,32,0.6,False,0.04296875,3.46453857421875
mg,2,triton,4,32,0.6,True,0.0322265625,3.4681243896484375
mg,2,triton,4,64,0.0,False,0.0263671875,3.4770965576171875
mg,2,triton,4,64,0.0,True,0.048828125,3.4627532958984375
mg,2,triton,4,64,0.3,False,0.0322265625,3.476104736328125
mg,2,triton,4,64,0.3,True,0.03515625,3.462554931640625
mg,2,triton,4,64,0.6,False,0.03125,3.4795074462890625
mg,2,triton,4,64,0.6,True,0.0302734375,3.4707183837890625
mg,2,triton,8,8,0.0,False,0.0400390625,3.4749755859375
mg,2,triton,8,8,0.0,True,0.04296875,3.4613037109375
mg,2,triton,8,8,0.3,False,0.021484375,3.4854888916015625
mg,2,triton,8,8,0.3,True,0.0302734375,3.4741363525390625
mg,2,triton,8,8,0.6,False,0.0390625,3.4620208740234375
mg,2,triton,8,8,0.6,True,0.04296875,3.466278076171875
mg,2,triton,8,16,0.0,False,0.0478515625,3.47698974609375
mg,2,triton,8,16,0.0,True,0.0361328125,3.482513427734375
mg,2,triton,8,16,0.3,False,0.03515625,3.47698974609375
mg,2,triton,8,16,0.3,True,0.02734375,3.4921875
mg,2,triton,8,16,0.6,False,0.041015625,3.4661407470703125
mg,2,triton,8,16,0.6,True,0.0478515625,3.472686767578125
mg,2,triton,8,32,0.0,False,0.037109375,3.476715087890625
mg,2,triton,8,32,0.0,True,0.0361328125,3.481414794921875
mg,2,triton,8,32,0.3,False,0.037109375,3.4799957275390625
mg,2,triton,8,32,0.3,True,0.0341796875,3.477325439453125
mg,2,triton,8,32,0.6,False,0.041015625,3.4742584228515625
mg,2,triton,8,32,0.6,True,0.03125,3.482177734375
mg,2,triton,8,64,0.0,False,0.041015625,3.4824981689453125
mg,2,triton,8,64,0.0,True,0.0380859375,3.48101806640625
mg,2,triton,8,64,0.3,False,0.0390625,3.482147216796875
mg,2,triton,8,64,0.3,True,0.0302734375,3.484344482421875
mg,2,triton,8,64,0.6,False,0.0361328125,3.4810638427734375
mg,2,triton,8,64,0.6,True,0.029296875,3.477691650390625
mg,3,triton,1,8,0.0,False,0.0283203125,3.471527099609375
mg,3,triton,1,8,0.0,True,0.025390625,3.4803924560546875
mg,3,triton,1,8,0.3,False,0.046875,3.4835662841796875
mg,3,triton,1,8,0.3,True,0.0361328125,3.4836883544921875
mg,3,triton,1,8,0.6,False,0.0244140625,3.4835357666015625
mg,3,triton,1,8,0.6,True,0.02734375,3.4895172119140625
mg,3,triton,1,16,0.0,False,0.041015625,3.4800567626953125
mg,3,triton,1,16,0.0,True,0.0283203125,3.489105224609375
mg,3,triton,1,16,0.3,False,0.0234375,3.4912109375
mg,3,triton,1,16,0.3,True,0.03125,3.48785400390625
mg,3,triton,1,16,0.6,False,0.0322265625,3.478668212890625
