model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg,1,triton,1,8,0.0,False,1.0,0.013899613171815872
mg,1,triton,1,8,0.0,True,0.9970703125,0.019919004291296005
mg,1,triton,1,8,0.3,False,0.9072265625,0.33779387921094894
mg,1,triton,1,8,0.3,True,0.912109375,0.3124941810965538
mg,1,triton,1,8,0.6,False,0.66015625,1.0853263139724731
mg,1,triton,1,8,0.6,True,0.6396484375,1.1816529333591461
mg,1,triton,1,16,0.0,False,0.99609375,0.02836735174059868
mg,1,triton,1,16,0.0,True,0.9970703125,0.02638871967792511
mg,1,triton,1,16,0.3,False,0.7978515625,0.6708423346281052
mg,1,triton,1,16,0.3,True,0.7978515625,0.6773711144924164
mg,1,triton,1,16,0.6,False,0.5595703125,1.4455503225326538
mg,1,triton,1,16,0.6,True,0.5693359375,1.4068796038627625
mg,1,triton,1,32,0.0,False,0.9990234375,0.02569517120718956
mg,1,triton,1,32,0.0,True,0.998046875,0.028316435404121876
mg,1,triton,1,32,0.3,False,0.5791015625,1.3120753765106201
mg,1,triton,1,32,0.3,True,0.6103515625,1.248371422290802
mg,1,triton,1,32,0.6,False,0.33984375,2.1923470497131348
mg,1,triton,1,32,0.6,True,0.34765625,2.223560333251953
mg,1,triton,1,64,0.0,False,0.9716796875,0.1326579600572586
mg,1,triton,1,64,0.0,True,0.97265625,0.13220225647091866
mg,1,triton,1,64,0.3,False,0.2744140625,2.5538783073425293
mg,1,triton,1,64,0.3,True,0.2490234375,2.6040916442871094
mg,1,triton,1,64,0.6,False,0.158203125,3.029163360595703
mg,1,triton,1,64,0.6,True,0.13671875,3.1015682220458984
mg,1,triton,2,8,0.0,False,0.9482421875,0.1933811493217945
mg,1,triton,2,8,0.0,True,0.9541015625,0.17428573220968246
mg,1,triton,2,8,0.3,False,0.84765625,0.5561255365610123
mg,1,triton,2,8,0.3,True,0.8623046875,0.4904828295111656
mg,1,triton,2,8,0.6,False,0.63671875,1.194131225347519
mg,1,triton,2,8,0.6,True,0.666015625,1.154844045639038
mg,1,triton,2,16,0.0,False,0.9462890625,0.19703847542405128
mg,1,triton,2,16,0.0,True,0.9619140625,0.1476549506187439
mg,1,triton,2,16,0.3,False,0.7822265625,0.7451641112565994
mg,1,triton,2,16,0.3,True,0.775390625,0.7039445638656616
mg,1,triton,2,16,0.6,False,0.5595703125,1.5559122562408447
mg,1,triton,2,16,0.6,True,0.5771484375,1.413719117641449
mg,1,triton,2,32,0.0,False,0.955078125,0.18716995418071747
mg,1,triton,2,32,0.0,True,0.962890625,0.15703332051634789
mg,1,triton,2,32,0.3,False,0.5537109375,1.4267624616622925
mg,1,triton,2,32,0.3,True,0.60546875,1.2663800716400146
mg,1,triton,2,32,0.6,False,0.34765625,2.2711899280548096
mg,1,triton,2,32,0.6,True,0.390625,2.1304328441619873
mg,1,triton,2,64,0.0,False,0.8994140625,0.3980351537466049
mg,1,triton,2,64,0.0,True,0.953125,0.19550124183297157
mg,1,triton,2,64,0.3,False,0.23828125,2.7003989219665527
mg,1,triton,2,64,0.3,True,0.3720703125,2.248307943344116
mg,1,triton,2,64,0.6,False,0.1494140625,3.0920448303222656
mg,1,triton,2,64,0.6,True,0.2021484375,2.8848037719726562
mg,1,triton,4,8,0.0,False,0.8779296875,0.45232095569372177
mg,1,triton,4,8,0.0,True,0.8701171875,0.4800643101334572
mg,1,triton,4,8,0.3,False,0.79296875,0.7490263283252716
mg,1,triton,4,8,0.3,True,0.7763671875,0.7485790401697159
mg,1,triton,4,8,0.6,False,0.6083984375,1.3188141584396362
mg,1,triton,4,8,0.6,True,0.6044921875,1.4255692660808563
mg,1,triton,4,16,0.0,False,0.8583984375,0.5272167697548866
mg,1,triton,4,16,0.0,True,0.8818359375,0.4366968423128128
mg,1,triton,4,16,0.3,False,0.685546875,1.1319951713085175
mg,1,triton,4,16,0.3,True,0.7177734375,0.9801785796880722
mg,1,triton,4,16,0.6,False,0.48828125,1.7541168928146362
mg,1,triton,4,16,0.6,True,0.51171875,1.6739246547222137
mg,1,triton,4,32,0.0,False,0.8828125,0.45356281101703644
mg,1,triton,4,32,0.0,True,0.8701171875,0.5016691908240318
mg,1,triton,4,32,0.3,False,0.51953125,1.635067880153656
mg,1,triton,4,32,0.3,True,0.5478515625,1.5323971509933472
mg,1,triton,4,32,0.6,False,0.31640625,2.3389649391174316
mg,1,triton,4,32,0.6,True,0.3349609375,2.299769401550293
mg,1,triton,4,64,0.0,False,0.751953125,0.9125013202428818
mg,1,triton,4,64,0.0,True,0.779296875,0.8076034188270569
mg,1,triton,4,64,0.3,False,0.2080078125,2.767390251159668
mg,1,triton,4,64,0.3,True,0.25390625,2.6298866271972656
