model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg_query_gated,1,triton,1,8,0.0,False,1.0,1.0244548320770264e-08
mg_query_gated,1,triton,1,8,0.6,False,1.0,1.3969838619232178e-08
mg_query_gated,1,triton,1,32,0.0,False,1.0,1.4901161193847656e-08
mg_query_gated,1,triton,1,32,0.6,False,1.0,2.3748725652694702e-08
mg_query_gated,1,triton,1,64,0.0,False,1.0,2.3748725652694702e-08
mg_query_gated,1,triton,1,64,0.6,False,1.0,2.1420419216156006e-08
mg_query_gated,1,triton,4,8,0.0,False,1.0,1.7229467630386353e-08
mg_query_gated,1,triton,4,8,0.6,False,1.0,1.6298145055770874e-08
mg_query_gated,1,triton,4,32,0.0,False,1.0,1.955777406692505e-08
mg_query_gated,1,triton,4,32,0.6,False,1.0,2.514570951461792e-08
mg_query_gated,1,triton,4,64,0.0,False,1.0,2.0489096641540527e-08
mg_query_gated,1,triton,4,64,0.6,False,1.0,1.909211277961731e-08
mg_query_gated,1,triton,8,8,0.0,False,1.0,1.257285475730896e-08
mg_query_gated,1,triton,8,8,0.6,False,1.0,1.7695128917694092e-08
mg_query_gated,1,triton,8,32,0.0,False,1.0,1.6298145055770874e-08
mg_query_gated,1,triton,8,32,0.6,False,1.0,3.119930624961853e-08
mg_query_gated,1,triton,8,64,0.0,False,1.0,1.862645149230957e-08
mg_query_gated,1,triton,8,64,0.6,False,1.0,2.3748725652694702e-08
baseline,1,triton,1,8,0.0,False,1.0,2.7008354663848877e-08
baseline,1,triton,1,8,0.6,False,1.0,2.514570951461792e-08
baseline,1,triton,1,32,0.0,False,1.0,2.3283064365386963e-08
baseline,1,triton,1,32,0.6,False,1.0,1.7695128917694092e-08
baseline,1,triton,1,64,0.0,False,1.0,2.1420419216156006e-08
baseline,1,triton,1,64,0.6,False,1.0,1.955777406692505e-08
baseline,1,triton,4,8,0.0,False,1.0,1.955777406692505e-08
baseline,1,triton,4,8,0.6,False,1.0,1.5832483768463135e-08
baseline,1,triton,4,32,0.0,False,1.0,2.561137080192566e-08
baseline,1,triton,4,32,0.6,False,1.0,1.6298145055770874e-08
baseline,1,triton,4,64,0.0,False,1.0,1.909211277961731e-08
baseline,1,triton,4,64,0.6,False,1.0,2.0954757928848267e-08
baseline,1,triton,8,8,0.0,False,1.0,2.514570951461792e-08
baseline,1,triton,8,8,0.6,False,1.0,2.514570951461792e-08
baseline,1,triton,8,32,0.0,False,1.0,2.7939677238464355e-08
baseline,1,triton,8,32,0.6,False,1.0,2.421438694000244e-08
baseline,1,triton,8,64,0.0,False,1.0,2.3283064365386963e-08
baseline,1,triton,8,64,0.6,False,1.0,2.0023435354232788e-08
