model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
baseline,1,slow,4,32,0.3,False,0.0,24.7662353515625
baseline,1,slow,4,64,0.3,False,0.0,29.948226928710938
baseline,1,slow,4,128,0.3,False,0.0,23.138811111450195
baseline,1,slow,8,32,0.3,False,0.0,28.532386779785156
baseline,1,slow,8,64,0.3,False,0.0,21.86317253112793
baseline,1,slow,8,128,0.3,False,0.0,23.396484375
local_attn,1,slow,4,32,0.3,False,0.0,24.653074264526367
local_attn,1,slow,4,64,0.3,False,0.0,29.924205780029297
local_attn,1,slow,4,128,0.3,False,0.0,23.089202880859375
local_attn,1,slow,8,32,0.3,False,0.0,28.585920333862305
local_attn,1,slow,8,64,0.3,False,0.0,21.79665184020996
local_attn,1,slow,8,128,0.3,False,0.0,23.264301300048828
mg_query_gated_local,1,slow,4,32,0.3,False,0.0,27.07076072692871
mg_query_gated_local,1,slow,4,64,0.3,False,0.0,29.30856704711914
mg_query_gated_local,1,slow,4,128,0.3,False,0.0,25.104923248291016
mg_query_gated_local,1,slow,8,32,0.3,False,0.0,27.235939025878906
mg_query_gated_local,1,slow,8,64,0.3,False,0.0,21.580020904541016
mg_query_gated_local,1,slow,8,128,0.3,False,0.0,24.82571029663086
