model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
baseline,1,triton,4,32,0.3,False,1.0,6.224494427442551e-06
baseline,1,triton,4,64,0.3,False,1.0,3.6708079278469086e-06
baseline,1,triton,4,128,0.3,False,1.0,3.2030511647462845e-06
baseline,1,triton,8,32,0.3,False,1.0,5.494104698300362e-06
baseline,1,triton,8,64,0.3,False,1.0,3.4794211387634277e-06
baseline,1,triton,8,128,0.3,False,1.0,3.6142300814390182e-06
local_attn,1,triton,4,32,0.3,False,1.0,3.538094460964203e-05
local_attn,1,triton,4,64,0.3,False,1.0,7.031089626252651e-05
local_attn,1,triton,4,128,0.3,False,0.01953125,3.60247802734375
local_attn,1,triton,8,32,0.3,False,1.0,2.722511999309063e-05
local_attn,1,triton,8,64,0.3,False,1.0,6.82193785905838e-05
local_attn,1,triton,8,128,0.3,False,0.03515625,3.584320068359375
mg_query_gated_local,1,triton,4,32,0.3,False,1.0,1.4239922165870667e-06
mg_query_gated_local,1,triton,4,64,0.3,False,1.0,1.5124678611755371e-06
mg_query_gated_local,1,triton,4,128,0.3,False,1.0,3.7313438951969147e-06
mg_query_gated_local,1,triton,8,32,0.3,False,1.0,1.2549571692943573e-06
mg_query_gated_local,1,triton,8,64,0.3,False,1.0,1.7452985048294067e-06
mg_query_gated_local,1,triton,8,128,0.3,False,1.0,3.782566636800766e-06
