model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
local_attn,1,triton,4,32,0.3,False,1.0,3.538094460964203e-05
local_attn,1,triton,4,64,0.3,False,1.0,7.031089626252651e-05
local_attn,1,triton,4,128,0.3,False,0.01953125,3.60247802734375
local_attn,1,triton,8,32,0.3,False,1.0,2.722511999309063e-05
local_attn,1,triton,8,64,0.3,False,1.0,6.82193785905838e-05
local_attn,1,triton,8,128,0.3,False,0.03515625,3.584320068359375
local_attn,2,triton,4,32,0.3,False,1.0,2.9828865081071854e-05
local_attn,2,triton,4,64,0.3,False,1.0,5.402322858572006e-05
local_attn,2,triton,4,128,0.3,False,0.021484375,3.518707275390625
local_attn,2,triton,8,32,0.3,False,1.0,2.8136884793639183e-05
local_attn,2,triton,8,64,0.3,False,1.0,6.007845513522625e-05
local_attn,2,triton,8,128,0.3,False,0.0234375,3.509307861328125
local_attn,3,triton,4,32,0.3,False,1.0,2.6579247787594795e-05
local_attn,3,triton,4,64,0.3,False,1.0,4.6507688239216805e-05
local_attn,3,triton,4,128,0.3,False,0.04296875,3.562103271484375
local_attn,3,triton,8,32,0.3,False,1.0,2.859695814549923e-05
local_attn,3,triton,8,64,0.3,False,1.0,7.911678403615952e-05
local_attn,3,triton,8,128,0.3,False,0.0234375,3.597900390625
mg_query_gated_local,1,triton,4,32,0.3,False,1.0,1.4239922165870667e-06
mg_query_gated_local,1,triton,4,64,0.3,False,1.0,1.5124678611755371e-06
mg_query_gated_local,1,triton,4,128,0.3,False,1.0,3.7313438951969147e-06
mg_query_gated_local,1,triton,8,32,0.3,False,1.0,1.2549571692943573e-06
mg_query_gated_local,1,triton,8,64,0.3,False,1.0,1.7452985048294067e-06
mg_query_gated_local,1,triton,8,128,0.3,False,1.0,3.782566636800766e-06
mg_query_gated_local,2,triton,4,32,0.3,False,1.0,1.9422732293605804e-06
mg_query_gated_local,2,triton,4,64,0.3,False,1.0,3.3562537282705307e-06
mg_query_gated_local,2,triton,4,128,0.3,False,1.0,3.064284101128578e-06
mg_query_gated_local,2,triton,8,32,0.3,False,1.0,1.971842721104622e-06
mg_query_gated_local,2,triton,8,64,0.3,False,1.0,4.184897989034653e-06
mg_query_gated_local,2,triton,8,128,0.3,False,1.0,2.9953662306070328e-06
mg_query_gated_local,3,triton,4,32,0.3,False,1.0,1.5944242477416992e-06
mg_query_gated_local,3,triton,4,64,0.3,False,1.0,2.1636951714754105e-06
mg_query_gated_local,3,triton,4,128,0.3,False,1.0,2.064742147922516e-06
mg_query_gated_local,3,triton,8,32,0.3,False,1.0,1.4684628695249557e-06
mg_query_gated_local,3,triton,8,64,0.3,False,1.0,1.8808059394359589e-06
mg_query_gated_local,3,triton,8,128,0.3,False,1.0,2.3331958800554276e-06
