model,model_base,step,seed,d_model,n_heads,train_loss,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,2,32,2,3.4970703125,8,128,0.3,False,0.05078125,3.479248046875
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,2,32,2,3.4970703125,8,256,0.3,False,0.04296875,3.50799560546875
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,2,32,2,3.4970703125,16,128,0.3,False,0.03515625,3.51849365234375
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,2,32,2,3.4970703125,16,256,0.3,False,0.03125,3.54034423828125
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,2,32,2,3.4375,8,128,0.3,False,0.03515625,3.4989013671875
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,2,32,2,3.4375,8,256,0.3,False,0.0234375,3.511962890625
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,2,32,2,3.4375,16,128,0.3,False,0.04296875,3.4732666015625
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,2,32,2,3.4375,16,256,0.3,False,0.02734375,3.527587890625
mg_query_gated_local_d32_h2,mg_query_gated_local,10000,2,32,2,3.564453125,8,128,0.3,False,0.02734375,3.46728515625
mg_query_gated_local_d32_h2,mg_query_gated_local,10000,2,32,2,3.564453125,8,256,0.3,False,0.02734375,3.4697265625
mg_query_gated_local_d32_h2,mg_query_gated_local,10000,2,32,2,3.564453125,16,128,0.3,False,0.02734375,3.491455078125
mg_query_gated_local_d32_h2,mg_query_gated_local,10000,2,32,2,3.564453125,16,256,0.3,False,0.02734375,3.4774169921875
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,3,32,2,3.4716796875,8,128,0.3,False,0.03125,3.50103759765625
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,3,32,2,3.4716796875,8,256,0.3,False,0.01953125,3.53759765625
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,3,32,2,3.4716796875,16,128,0.3,False,0.0390625,3.5040283203125
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,3,32,2,3.4716796875,16,256,0.3,False,0.04296875,3.52142333984375
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,3,32,2,3.51171875,8,128,0.3,False,0.015625,3.489501953125
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,3,32,2,3.51171875,8,256,0.3,False,0.0234375,3.49786376953125
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,3,32,2,3.51171875,16,128,0.3,False,0.0390625,3.48077392578125
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,3,32,2,3.51171875,16,256,0.3,False,0.01953125,3.4903564453125
