model,model_base,step,d_model,n_heads,train_loss,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
local_attn_d64_h4,local_attn,2000,64,4,3.4150390625,8,128,0.3,False,0.0625,3.52935791015625
local_attn_d64_h4,local_attn,2000,64,4,3.4150390625,8,256,0.3,False,0.02734375,3.50787353515625
local_attn_d64_h4,local_attn,2000,64,4,3.4150390625,16,128,0.3,False,0.04296875,3.55126953125
local_attn_d64_h4,local_attn,2000,64,4,3.4150390625,16,256,0.3,False,0.01953125,3.55322265625
local_attn_d64_h4,local_attn,5000,64,4,3.58203125,8,128,0.3,False,0.05078125,3.49639892578125
local_attn_d64_h4,local_attn,5000,64,4,3.58203125,8,256,0.3,False,0.0625,3.47930908203125
local_attn_d64_h4,local_attn,5000,64,4,3.58203125,16,128,0.3,False,0.01171875,3.544189453125
local_attn_d64_h4,local_attn,5000,64,4,3.58203125,16,256,0.3,False,0.03515625,3.53045654296875
local_attn_d64_h4,local_attn,10000,64,4,3.390625,8,128,0.3,False,0.02734375,3.5098876953125
local_attn_d64_h4,local_attn,10000,64,4,3.390625,8,256,0.3,False,0.02734375,3.51458740234375
local_attn_d64_h4,local_attn,10000,64,4,3.390625,16,128,0.3,False,0.01953125,3.54083251953125
local_attn_d64_h4,local_attn,10000,64,4,3.390625,16,256,0.3,False,0.01953125,3.50628662109375
local_attn_d32_h2,local_attn,2000,32,2,3.462890625,8,128,0.3,False,0.03125,3.5194091796875
local_attn_d32_h2,local_attn,2000,32,2,3.462890625,8,256,0.3,False,0.03125,3.488525390625
local_attn_d32_h2,local_attn,2000,32,2,3.462890625,16,128,0.3,False,0.01953125,3.51959228515625
local_attn_d32_h2,local_attn,2000,32,2,3.462890625,16,256,0.3,False,0.05078125,3.50494384765625
local_attn_d32_h2,local_attn,5000,32,2,3.498046875,8,128,0.3,False,0.04296875,3.470458984375
local_attn_d32_h2,local_attn,5000,32,2,3.498046875,8,256,0.3,False,0.05859375,3.46368408203125
local_attn_d32_h2,local_attn,5000,32,2,3.498046875,16,128,0.3,False,0.015625,3.46734619140625
local_attn_d32_h2,local_attn,5000,32,2,3.498046875,16,256,0.3,False,0.02734375,3.48065185546875
local_attn_d32_h2,local_attn,10000,32,2,3.4619140625,8,128,0.3,False,0.03125,3.48724365234375
local_attn_d32_h2,local_attn,10000,32,2,3.4619140625,8,256,0.3,False,0.02734375,3.47808837890625
local_attn_d32_h2,local_attn,10000,32,2,3.4619140625,16,128,0.3,False,0.01953125,3.49493408203125
local_attn_d32_h2,local_attn,10000,32,2,3.4619140625,16,256,0.3,False,0.03515625,3.48419189453125
mg_query_gated_local_d64_h4,mg_query_gated_local,2000,64,4,3.4345703125,8,128,0.3,False,0.0390625,3.52764892578125
mg_query_gated_local_d64_h4,mg_query_gated_local,2000,64,4,3.4345703125,8,256,0.3,False,0.02734375,3.5025634765625
mg_query_gated_local_d64_h4,mg_query_gated_local,2000,64,4,3.4345703125,16,128,0.3,False,0.0390625,3.5504150390625
mg_query_gated_local_d64_h4,mg_query_gated_local,2000,64,4,3.4345703125,16,256,0.3,False,0.0390625,3.5513916015625
mg_query_gated_local_d64_h4,mg_query_gated_local,5000,64,4,3.5712890625,8,128,0.3,False,0.05078125,3.50323486328125
mg_query_gated_local_d64_h4,mg_query_gated_local,5000,64,4,3.5712890625,8,256,0.3,False,0.0625,3.4840087890625
mg_query_gated_local_d64_h4,mg_query_gated_local,5000,64,4,3.5712890625,16,128,0.3,False,0.01171875,3.54095458984375
mg_query_gated_local_d64_h4,mg_query_gated_local,5000,64,4,3.5712890625,16,256,0.3,False,0.03515625,3.5357666015625
mg_query_gated_local_d64_h4,mg_query_gated_local,10000,64,4,3.435546875,8,128,0.3,False,0.04296875,3.5166015625
mg_query_gated_local_d64_h4,mg_query_gated_local,10000,64,4,3.435546875,8,256,0.3,False,0.02734375,3.51739501953125
mg_query_gated_local_d64_h4,mg_query_gated_local,10000,64,4,3.435546875,16,128,0.3,False,0.02734375,3.54443359375
mg_query_gated_local_d64_h4,mg_query_gated_local,10000,64,4,3.435546875,16,256,0.3,False,0.02734375,3.51239013671875
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,32,2,3.4541015625,8,128,0.3,False,0.0234375,3.48419189453125
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,32,2,3.4541015625,8,256,0.3,False,0.03125,3.471923828125
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,32,2,3.4541015625,16,128,0.3,False,0.01953125,3.48095703125
mg_query_gated_local_d32_h2,mg_query_gated_local,2000,32,2,3.4541015625,16,256,0.3,False,0.05078125,3.48516845703125
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,32,2,0.3344685137271881,8,128,0.3,False,0.8125,0.6719508171081543
mg_query_gated_local_d32_h2,mg_query_gated_local,5000,32,2,0.3344685137271881,8,256,0.3,False,0.8203125,0.6013407558202744
