alpha,lambda_mass,glyph_deposit,mean_retrieval_acc,mean_query_loss,train_tokens_per_sec,acc_delay_8,acc_delay_16,acc_delay_24,acc_delay_32,acc_delay_40
0.97,0.5,1.0,0.924140625,0.3228611469268799,149678.54470708885,1.0,1.0,1.0,0.864453125,0.75625
0.97,0.25,1.5,0.9174218749999999,0.36243732452392574,150094.51839111545,1.0,1.0,1.0,0.9,0.687109375
0.97,0.25,1.0,0.912421875,0.36911014556884764,148033.4308139451,1.0,1.0,1.0,0.883203125,0.67890625
0.9,0.5,1.0,0.8892187500000001,0.586569881439209,148610.15833276068,1.0,1.0,1.0,0.909765625,0.536328125
0.97,0.1,1.0,0.87953125,0.5947792434692383,151950.3485757116,1.0,1.0,1.0,0.869921875,0.527734375
0.97,0.1,1.5,0.8793749999999999,0.5919672775268554,152460.5078267762,1.0,1.0,1.0,0.868359375,0.528515625
0.9,0.25,1.5,0.868828125,0.6917283248901367,154085.46901485903,1.0,1.0,1.0,0.88125,0.462890625
0.97,0.5,1.5,0.868515625,0.6374802970886231,151169.86665029437,1.0,1.0,1.0,0.749609375,0.59296875
0.9,0.25,1.0,0.866796875,0.7090294075012207,150890.24054907187,1.0,1.0,1.0,0.8796875,0.454296875
0.8,0.25,1.5,0.86453125,0.7157159996032715,138156.49939991208,1.0,1.0,1.0,0.8453125,0.47734375
0.8,0.25,1.0,0.86328125,0.7132925415039062,137020.1527347004,1.0,1.0,1.0,0.840234375,0.476171875
0.8,0.0,1.0,0.8628125000000001,0.6517280006408691,200779.01288251646,1.0,1.0,1.0,0.799609375,0.514453125
0.8,0.0,1.5,0.8628125000000001,0.6517280006408691,207536.92477178134,1.0,1.0,1.0,0.799609375,0.514453125
0.9,0.0,1.0,0.8628125000000001,0.6517280006408691,234755.5001567629,1.0,1.0,1.0,0.799609375,0.514453125
0.9,0.0,1.5,0.8628125000000001,0.6517280006408691,208146.17442845745,1.0,1.0,1.0,0.799609375,0.514453125
0.97,0.0,1.0,0.8628125000000001,0.6517280006408691,237285.74852972126,1.0,1.0,1.0,0.799609375,0.514453125
0.97,0.0,1.5,0.8628125000000001,0.6517280006408691,234200.99242764217,1.0,1.0,1.0,0.799609375,0.514453125
0.9,0.1,1.0,0.86265625,0.7028258132934571,145974.94111247265,1.0,1.0,1.0,0.8265625,0.48671875
0.8,0.1,1.5,0.86109375,0.6982167434692383,138104.08279535573,1.0,1.0,1.0,0.812109375,0.493359375
0.9,0.1,1.5,0.860625,0.7047808074951172,150733.75653614203,1.0,1.0,1.0,0.81875,0.484375
0.8,0.1,1.0,0.8595312500000001,0.7018120574951172,143068.00096647142,1.0,1.0,1.0,0.808203125,0.489453125
0.8,0.5,1.5,0.8582812499999999,0.8165751457214355,138415.4599701677,1.0,1.0,1.0,0.865234375,0.426171875
0.8,0.5,1.0,0.858203125,0.825087890625,134577.31282729382,1.0,1.0,1.0,0.867578125,0.4234375
0.9,0.5,1.5,0.843359375,0.9146856689453126,152035.12100553964,1.0,1.0,1.0,0.7234375,0.493359375
