revision,layer,control,n,n_groups,residualized_curvature_entropy_pearson
step128,5,token_class,2478,4,-0.01959368279546452
step128,5,punct_kind,2478,4,-0.02846042156422754
step128,5,sentence_zone,2478,5,-0.02719859964873566
step128,5,position_bin,2478,4,-0.020540217052034678
step128,5,surface_combo,2461,38,-0.033924012381251006
step128,15,token_class,2478,4,-0.07143851137276015
step128,15,punct_kind,2478,4,-0.06642492839371092
step128,15,sentence_zone,2478,5,-0.08133902608209154
step128,15,position_bin,2478,4,-0.0636609214128203
step128,15,surface_combo,2461,38,-0.07542185203542826
step512,1,token_class,2478,4,-0.09718853072130156
step512,1,punct_kind,2478,4,-0.09420002767383076
step512,1,sentence_zone,2478,5,-0.09157132244483122
step512,1,position_bin,2478,4,-0.0929440339035541
step512,1,surface_combo,2461,38,-0.0896172461955646
step512,5,token_class,2478,4,-0.09719284006887266
step512,5,punct_kind,2478,4,-0.07296686473054986
step512,5,sentence_zone,2478,5,-0.06999578362796052
step512,5,position_bin,2478,4,-0.08274136099560749
step512,5,surface_combo,2461,38,-0.07617410848950827
step2000,5,token_class,2478,4,0.0627167542110631
step2000,5,punct_kind,2478,4,0.061007384350219906
step2000,5,sentence_zone,2478,5,0.05414427680975114
step2000,5,position_bin,2478,4,0.06553374461404425
step2000,5,surface_combo,2461,38,0.045798887910239436
step8000,5,token_class,2478,4,0.1414777996074932
step8000,5,punct_kind,2478,4,0.12349788546675684
step8000,5,sentence_zone,2478,5,0.11863190851316863
step8000,5,position_bin,2478,4,0.1371369372955497
step8000,5,surface_combo,2461,38,0.10641352041369975
step143000,4,token_class,2478,4,0.18883637074565018
step143000,4,punct_kind,2478,4,0.1679392244823038
step143000,4,sentence_zone,2478,5,0.16184789990774315
step143000,4,position_bin,2478,4,0.18224188208136866
step143000,4,surface_combo,2461,38,0.15207928269670623
step143000,5,token_class,2478,4,0.1812716397984779
step143000,5,punct_kind,2478,4,0.1600629035887693
step143000,5,sentence_zone,2478,5,0.15365756775928258
step143000,5,position_bin,2478,4,0.17639050280070243
step143000,5,surface_combo,2461,38,0.14301817789187962
